,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
251,Washington,2008,3071587.0,67.34218882,30.7,77.44,75.28,37.48387097,1,8
252,West Virginia,2008,731691.0,51.15149964,17.1,51.95,93.74,40.07636528,1,8
253,Wisconsin,2008,2997086.0,72.73255427000001,25.7,70.01,85.21,37.93077275,1,8
254,Wyoming,2008,256035.0,63.104463040000006,23.6,72.93,86.50999999999999,37.20131757,1,8
255,Alabama,2010,1503232.0,43.28859621,21.9,55.44,67.35,38.01909103,0,10
256,Alaska,2010,261128.0,52.88518402,27.9,78.34,64.17,34.81259129,0,10
257,Arizona,2010,1750840.0,41.592153450000005,25.9,63.51,57.989999999999995,37.28039444,0,10
258,Arkansas,2010,789773.0,37.94876501,19.5,52.26,74.59,38.02565279,0,10
259,California,2010,10529134.0,45.88647119,30.1,73.52,39.989999999999995,36.32138231,0,10
260,Colorado,2010,1828323.0,51.749081669999995,36.4,81.57,70.23,36.7163663,0,10
261,Connecticut,2010,1153872.0,45.91646336,35.5,89.38,71.23,38.88370817,0,10
262,Delaware,2010,316754.0,48.9596874,27.8,74.78,65.63,38.59550304,0,10
263,District of Columbia,2010,135846.0,29.62066552,50.1,77.1,33.54,37.70975096,0,10
264,Florida,2010,5473787.0,42.23215256,25.8,59.68,57.879999999999995,40.33040742,0,10
265,Georgia,2010,2623035.0,40.573826600000004,27.3,59.75,56.04,36.07633807,0,10
266,Hawaii,2010,386302.0,40.25946009,29.5,80.63,21.7,39.18569453,0,10
267,Idaho,2010,459079.0,42.926805089999995,24.4,63.72,84.17999999999999,36.1596595,0,10
268,Illinois,2010,3792770.0,43.10539505,30.8,68.7,63.72,37.16978558,0,10
269,Indiana,2010,1791832.0,38.14753366,22.7,62.49,81.67,37.40188892,0,10
270,Iowa,2010,1133429.0,50.723691390000006,24.9,66.38,88.75999999999999,38.3818262,0,10
271,Kansas,2010,857658.0,42.637796630000004,29.8,62.37,78.29,37.07620427,0,10
272,Kentucky,2010,1417995.0,44.33876688,20.5,55.67,86.83999999999999,38.1110266,0,10
273,Louisiana,2010,1298649.0,39.964284,21.4,53.22,60.699999999999996,36.83971912,0,10
274,Maine,2010,580584.0,55.922119130000006,26.8,64.91,94.63000000000001,40.87773129,0,10
275,Maryland,2010,1868179.0,46.69240501,36.1,86.95,54.76,37.72973213,0,10
276,Massachusetts,2010,2319963.0,49.42748425,39.0,82.52,76.39,38.83567726,0,10
277,Michigan,2010,3268217.0,45.10821595,25.2,62.67,76.74,38.34704274,0,10
278,Minnesota,2010,2123369.0,55.83879462,31.8,70.86,83.22,37.608,0,10
280,Missouri,2010,1997271.0,45.74145728,25.6,62.05,81.23,38.1355567,0,10
281,Montana,2010,367096.0,48.38786639,28.8,55.91,88.0,39.33703781,0,10
282,Nebraska,2010,503514.0,38.6877124,28.6,71.11,82.36,37.32512705,0,10
283,Nevada,2010,723515.0,41.40788468,21.7,69.34,53.94,37.04906683,0,10
284,New Hampshire,2010,461423.0,46.14608398,32.8,90.24,92.12,39.54976489,0,10
285,New Jersey,2010,2200974.0,37.72643197,35.4,85.28,59.38,38.30341979,0,10
286,New Mexico,2010,630013.0,44.71754709,25.0,61.12,40.53,37.46833499,0,10
287,New York,2010,4763899.0,36.268607470000006,32.5,67.42,58.209999999999994,38.2695281,0,10
288,North Carolina,2010,2700706.0,39.8013518,26.5,59.36,65.39,37.75179362,0,10
289,North Dakota,2010,241039.0,46.62497534,27.6,69.08,89.25999999999999,38.15713844,0,10
290,Ohio,2010,3956028.0,46.15084172,24.6,62.14,81.33,38.45379245,0,10
291,Oklahoma,2010,1043507.0,39.13004023,22.9,58.37,68.78999999999999,37.30925595,0,10
292,Oregon,2010,1487210.0,53.87257223,28.8,68.53,78.49000000000001,38.71339001,0,10
293,Pennsylvania,2010,4055336.0,42.39401486,27.1,65.43,79.75999999999999,39.50424201,0,10
294,Rhode Island,2010,346357.0,45.36235453,30.2,69.91,76.42,39.14704717,0,10
295,South Carolina,2010,1365480.0,40.29846385,24.5,56.47,64.41,38.26471574,0,10
296,South Dakota,2010,323410.0,53.94599229,26.3,61.42,85.04,37.68602287,0,10
297,Tennessee,2010,1620542.0,35.05451858,23.1,52.26,75.8,38.16855258,0,10
298,Texas,2010,5066957.0,32.66053058,25.9,64.01,45.18,35.04554514,0,10
299,Utah,2010,653274.0,36.84705691,29.3,76.79,80.41,32.3442972,0,10
300,Vermont,2010,243617.0,49.82533716,33.6,75.74,94.5,40.34962469,0,10
301,Virginia,2010,2214505.0,39.12145892,34.2,81.75,64.92,37.76888029,0,10
302,Washington,2010,2565589.0,54.30565051000001,31.1,76.06,72.66,37.69333475,0,10
303,West Virginia,2010,536493.0,37.20470762,17.5,57.93,93.56,40.50038911,0,10
304,Wisconsin,2010,2185021.0,52.37183405,26.3,68.19,83.53,38.24393682,0,10
305,Wyoming,2010,190822.0,46.032672670000004,24.1,70.7,86.08,37.39405543,0,10
307,Alaska,2012,301694.0,58.94855723,28.0,82.02,63.190000000000005,35.46530728,1,12
308,Arizona,2012,2323579.0,52.95423779,27.3,60.62,57.17,37.9342812,1,12
309,Arkansas,2012,1078548.0,51.11972574,21.0,50.28,74.21,38.33574575,1,12
310,California,2012,13202158.0,55.74803171,30.9,73.48,39.17,36.7991564,1,12
311,Colorado,2012,2596173.0,70.62742409,37.5,73.78,69.71000000000001,37.22103094,1,12
312,Connecticut,2012,1560640.0,61.365160929999995,37.1,82.79,70.16,39.33239445,1,12
314,District of Columbia,2012,294254.0,61.61329363,53.0,84.08,34.83,37.64580537,1,12
315,Florida,2012,8538264.0,63.26956603,26.8,59.37,56.879999999999995,40.76741414,1,12
316,Georgia,2012,3919355.0,59.324778970000004,28.2,62.01,55.33,36.54673267,1,12
317,Hawaii,2012,437159.0,44.47635675,30.1,72.5,21.709999999999997,39.29782756,1,12
318,Idaho,2012,666290.0,61.04855187,25.5,61.75,83.55,36.772928,1,12
319,Illinois,2012,5279752.0,59.32876907,31.6,66.67,62.980000000000004,37.64084692,1,12
320,Indiana,2012,2663368.0,56.00851767,23.4,59.48,81.12,37.78167792,1,12
321,Iowa,2012,1589951.0,70.60963305,26.3,68.87,88.12,38.5781922,1,12
322,Kansas,2012,1182771.0,58.24489852,30.4,64.44,77.75,37.29657399,1,12
323,Kentucky,2012,1815843.0,56.23223817,21.8,52.94,86.28,38.49965762,1,12
324,Louisiana,2012,2014548.0,60.832594019999995,22.0,50.37,60.099999999999994,37.26062374,1,12
325,Maine,2012,724758.0,69.2879978,28.0,63.35,94.24,41.46990562,1,12
326,Maryland,2012,2734062.0,67.28206789,36.9,92.57,53.900000000000006,38.12167334,1,12
327,Massachusetts,2012,3184196.0,66.20397428,39.3,82.03,75.35,39.26287711,1,12
328,Michigan,2012,4780701.0,65.37509615,26.0,64.45,76.44,38.89754951,1,12
329,Minnesota,2012,2950780.0,76.41344335,33.2,79.63,82.43,38.01906284,1,12
332,Montana,2012,491966.0,63.52243323,29.4,58.1,87.22999999999999,39.9135588,1,12
