,State,Year,TotalBallots,VotingEligiblePopulation,VotingAgePopulation,PercentVotingEligibleVotes,PercentVotingAgeVotes,PercentBachelors,Income,PercentWhite,AverageAge,Population,LandAreaSQM,PopulationDensity,Presidential
56,Oregon,2010,1487210.0,2760607,2984806,0.5387257222777454,0.4982601884343572,28.8,68530,0.7849,38.713390010626995,3837.61,95988,39.98010167937659,False
57,Pennsylvania,2010,4055336.0,9565822,9946290,0.42394014858315365,0.40772348282625986,27.1,65430,0.7976,39.50424201013527,12711.41,44743,284.098294705317,False
58,Rhode Island,2010,346357.0,763534,829913,0.453623545251423,0.4173413357785696,30.2,69910,0.7642,39.147047166072134,1053.99,1034,1019.3326885880077,False
59,South Carolina,2010,1365480.0,3388417,3571250,0.40298463854950556,0.38235351767588377,24.5,56470,0.6441,38.26471573774154,4635.85,30061,154.21476331459365,False
60,South Dakota,2010,323410.0,599507,616113,0.5394599229033189,0.5249199416340834,26.3,61420,0.8504,37.68602287166455,816.193,75811,10.766155307277309,False
61,Tennessee,2010,1620542.0,4622919,4878724,0.3505451858447011,0.33216513170246975,23.1,52260,0.758,38.16855258478549,6355.52,41235,154.12925912453014,False
62,Texas,2010,5066957.0,15514007,18487369,0.32660530577303465,0.2740766952831417,25.9,64010,0.4518,35.045545142448056,25241.9,261232,96.62637042935016,False
63,Vermont,2010,243617.0,488942,498254,0.49825337156554356,0.48894138331052034,33.6,75740,0.945,40.34962468723936,625.886,9217,67.90560920039059,False
64,Virginia,2010,2214505.0,5660589,6194717,0.39121458915317825,0.35748283577764733,34.2,81750,0.6492,37.768880292842496,8024.0,39490,203.19068118511015,False
65,Wisconsin,2010,2185021.0,4172130,4365214,0.5237183405119208,0.5005530083977555,26.3,68190,0.8353,38.243936820038314,5690.54,54158,105.07293474648252,False
66,Wyoming,2010,190822.0,414536,430673,0.4603267267499083,0.4430786234567758,24.1,70700,0.8608,37.39405543398979,564.531,97093,5.814332650139557,False
67,Alaska,2012,301694.0,511792,543763,0.5894855722637321,0.5548262754177831,28.0,82020,0.6319,35.46530727839139,730.81,570641,1.280682600794545,True
68,Arizona,2012,2323579.0,4387900,4959270,0.5295423779028693,0.46853246546366706,27.3,60620,0.5717,37.93428119568451,6556.34,113594,57.71730901279997,True
69,Connecticut,2012,1560640.0,2543202,2801375,0.613651609270518,0.5570978537325421,37.1,82790,0.7016,39.33239444715891,3595.21,4842,742.5051631557208,True
70,District of Columbia,2012,294254.0,477582,528848,0.6161329363334465,0.5564056212749221,53.0,84080,0.3483,37.645805369127515,635.737,61,10421.918032786885,True
71,Florida,2012,8538264.0,13495057,15380947,0.6326956603443764,0.5551195254752519,26.8,59370,0.5688,40.767414141093084,19302.02,53625,359.9444289044289,True
72,Georgia,2012,3919355.0,6606607,7452696,0.5932477896747907,0.5258976080602241,28.2,62010,0.5533,36.546732665030575,9903.58,57513,172.19724236259628,True
73,Hawaii,2012,437159.0,982902,1088335,0.4447635674767169,0.40167687338916785,30.1,72500,0.2171,39.29782755769375,1395.2,6423,217.21936789662152,True
74,Idaho,2012,666290.0,1091410,1173727,0.6104855187326486,0.5676703356061503,25.5,61750,0.8355,36.772928,1595.91,82643,19.310891424561063,True
75,Indiana,2012,2663368.0,4755291,4960376,0.5600851767010684,0.5369286521828184,23.4,59480,0.8112,37.781677920111065,6538.99,35826,182.5207949533858,True
